Objektnummer;Navn;UTMSone;UTMEast;UTMNorth
1;Seljeli dolomittbrudd;33;436057;7333905
2;Reinshaugen - LNS;33;527249;7648999
6;Hammerfall dolomittgruve;33;523082;7475202
8;Rekøya;33;477958;7565659
10;Øyjord Kalkbrudd;33;458151;7359422
11;Løgavlen marmorbrudd (Norwegian Rose);33;516459;7463301
12;Skysselvik grustak;33;518135;7458639
13;Gusdal olivinbrudd - Åheim;33;8578;6912103
14;Jordalsnuten underjordsgruve;33;51311;6774098
15;Fiveland massetak - Møen;33;70205;6732564
16;Måge;33;32997;6704161
17;Kvernuri steinbrot (Sandvenura);33;17942;6716818
18;Haugesundgangen;33;-51873;6659989
19;Røyneberg masseuttak;33;-36218;6566304
21;Nordmarka steinbrudd - Tau;33;-18525;6584920
23;Tjentland Øvre/Nedre;33;-4088;6589878
26;Helland grustak;33;-18725;6547869
29;Berakvam - Norsk Stein;33;-7190;6615757
31;Sæterfjellet skiferbrudd;33;218891;6937415
32;Klevan - skiferbrudd;33;220484;6936141
33;Myrenget massetak;33;224835;6947981
35;Bingsa steinbrudd;33;57564;6957625
37;Stjernøy;33;785315;7814239
38;Kylles steinbrudd;33;-28851;6559325
39;Litle Randås - Randåsen øst;33;-10747;6597733
41;Fossanmoen grustak;33;-9724;6561834
43;Drange masseuttak;33;45;6513568
44;Edelsplitt - Innstifjellet.;33;-28103;6520321
45;Hellviksplitt - Rudlå;33;-28764;6519962
46;Titania - Tellnes;33;-1703;6498496
47;Espevik steinbrudd;33;-29971;6615449
48;Hillesland - Karmøy Naturstein;33;-54882;6600515
50;Rekefjord Øst;33;-10729;6498056
53;Sævarbrotet;33;18779;6717123
55;Dimmelsvik;33;-4190;6679799
56;Austrheim;33;-7188;6648742
57;Sørheim;33;-7442;6648823
58;NorStone - Mjølkeviksvarden;33;-47678;6754382
63;Leirpollen kvartsbrudd;33;999902;7874174
68;Hobøl pukkverk - Gausland vestre;33;271511;6614775
74;Moss Pukkverk;33;257858;6598050
76;Hekkelstrand;33;575075;7588152
80;Vestringsbygde Aust;33;194778;6768136
81;Lunner pukkverk;33;256877;6690528
85;Flaten massetak (Brennum/Skogstad);33;239084;6793877
91;Hadeland pukkverk;33;263596;6676233
92;Akselberg;33;383874;7255049
96;Forsetseterlia kalksteinsbrudd (før Forset - Gausdal Kalkverk);33;235958;6794489
99;Hole Kalkverk - Franzefoss Kalk AS;33;262185;6733080
102;Icopal AS, Skiferbruddet Rogne;33;185725;6785983
105;Ullsfjord grustak (Fornes);33;690384;7728406
106;Hjellnes grustak - Ullsfjorden;33;684114;7729062
107;Renså;33;578175;7621119
113;Gullkista;33;513297;7608867
114;Møretrømoen sandtak;33;118069;6485528
117;Vegarheim Pukkverk;33;141067;6521214
119;Midtskogen Steinbrudd;33;308951;6754525
120;Furuberget - Steens Kalkverk;33;283041;6748783
121;Spigsetberget massetak - Odal Grus;33;314876;6683237
122;Langbakken grustak og steinbrudd;33;309841;6784522
123;Nedre Brenna Sandtak;33;311088;6787573
125;Hovda Grustak;33;303068;6791387
128;Vedvikmona;33;33433;6896925
129;Halbrenstlia - Reset (Steinbrotet);33;11566;6846509
131;Lindane steinbrudd;33;37071;6806117
132;Sløvåg;33;-37591;6787026
133;Hyllestad Pukk - Lifjorden (Sognnes Steinbrot);33;-26063;6817958
135;Brimmen Quarry - Magnhildsengja;33;-50018;6840035
137;Bjordal;33;6558;6804628
140;Hannabekken;33;353459;7153975
141;Råbakken grusuttak;33;341907;7151918
142;Sjåenget Steinuttak;33;340277;7154874
144;Hestvika - Norkalsitt AS;33;344088;7191076
146;Storbjørkåsen (Øren) massetak;33;339243;7196532
148;Myrmo;33;409285;7193306
149;Dalbekken;33;448824;7102130
151;Fossberga Pukkverk;33;297738;7036272
152;Snøskavltjønn - Snåsaskifer AS;33;390393;7118765
153;Ravneberget pukkverk;33;159234;6527475
155;Fannemel sand- og grusuttak;33;58480;6902078
157;Håkestad (Krukåsen);33;220743;6559989
158;Noem kalkbrudd;33;344087;7119603
159;Bergan;33;224718;6556282
160;Følling kalkbrudd;33;330752;7112146
161;Kolo AS avd. Nord - Stakskaret;33;324935;7202549
163;Høilo Kalksteinsbrudd;33;329114;7074384
164;Aak-feltet;33;204319;6555111
165;Verdalskalk AS - Tromsdalen;33;334771;7071026
167;Løkrååsen;33;377700;7197226
169;Storvassberget Skiferbrudd  (Hellberget);33;216834;6888126
174;Dalen Gruve;33;195386;6559492
175;Håkestad;33;219736;6559172
177;Fjærekilen Sandtak;33;188686;6573406
179;Vevja;33;204700;6555872
182;Finland Steinbrot;33;85642;6644536
185;Litangen - Bøleråsen;33;171330;6537147
187;Valberg;33;178558;6540571
188;Vardåstoppen;33;205058;6555551
190;Vevjeåsen Nord;33;205533;6556974
191;Oterrønningen - Regnpiggåsen;33;207013;6555485
195;Bjørndalen;33;205531;6556032
198;Snekkevik Kvartsbrudd;33;171386;6538793
200;Hønerudåsen - Hokksund Pukkverk;33;209920;6640553
203;Vardåsen Syd;33;204850;6555689
205;Franzefoss Kalk AS - Burudåsen;33;239703;6675257
208;Burud pukkverk;33;213088;6642009
211;Høgåsen steinbrudd (Jogra steinbrudd);33;238592;6630409
212;Malerød;33;210121;6560290
215;Stålaker;33;219718;6558359
217;Klåstad brudd;33;223314;6557243
219;Hedrum Pukkverk - Landhjem;33;216813;6561556
221;Himberg Pukkverk;33;232401;6585065
225;Hanekleiva;33;227271;6613849
227;Juve;33;240454;6620257
231;Bondkall pukkverk (Bånkall);33;272445;6656443
232;Langnes Marmorbrudd;33;112881;6997648
233;Nåsfjellet;33;112254;6997259
234;Glærum Kalksteinsgruve AS;33;176155;7000797
236;Visnes - Dalateigen og Blåberget;33;114007;7003056
237;Årødalen massetak;33;107454;6984782
239;Skarsberg pukkverk / Olberg steinbrudd;33;214456;6642238
243;Brattås sementvare;33;204760;7003942
246;Sætrefjellet steinbrudd;33;-17395;6889548
248;Bruland sandtak;33;16381;6844985
252;Kyrkjeteigen - Valeberg;33;79801;6811371
254;Ersland steinbrudd;33;-46314;6666970
255;Eikefet;33;-14227;6766856
256;Nordheim skiferbrudd;33;37044;6756685
257;Fet Gropa;33;304555;6635855
258;Folbergåsen massetak - Nes Pukkverk;33;306920;6674338
259;Vinterbro Pukkverk;33;263154;6630426
260;Steinskogen Pukkverk;33;250579;6653006
261;Vestby Pukkverk;33;261071;6612865
262;Fjuk Skog massetak;33;298510;6654933
263;Tangen Pukkverk;33;283022;6690756
264;Beinskinnfjellet steinbrudd;33;-32704;6521412
265;Gravdal Maskin - Vikesdalsmoen;33;-13440;6534135
266;Bjønndalen Bruk;33;272318;6658908
267;Feiringåsen;33;274746;6647774
271;Mårnes kvartsittbrudd;33;461440;7448224
273;Håkonhals;33;528078;7545004
275;Ørtfjell gruve;33;487279;7366787
276;Austpollen sandtak;33;525673;7612089
277;Kjøpsvik kalksteinsbrudd;33;558294;7556078
278;Sørnesodden - Rombak pukkverk;33;611275;7594179
281;Lødingen pukkverk - Anfinnslett;33;517851;7581261
282;Øyvolden kvartsgruve - Drag;33;544864;7545692
283;Austvika - Helgeland Pukkverk;33;420470;7341992
291;Vassfjell Pukkverk;33;268613;7029178
292;Veset fjelltak;33;416668;7310081
293;Forsmolia steinbrudd;33;420562;7308149
294;Lia Pukkverk;33;272638;7034080
297;Skeislia steinbrudd;33;252256;7053287
298;Overskott steinbrudd;33;247889;7053700
299;Torgård (Torgårdsletta);33;268023;7030300
300;Gisna - Flatmoen Statskog;33;241507;6960569
303;Skamferseter massetak;33;246055;6971846
304;Nord-Fosen Pukkverk;33;282801;7142405
305;Skjøla pukkverk;33;269272;7029501
306;Ottersbo Pukkverk;33;242773;7075109
311;Myrasaga massetak;33;249006;7007008
312;Mereftasåsen steinbrudd;33;260813;7017451
314;Urstadberget steintak;33;377093;7159420
315;Selvågdalen (Henda steinbrudd / Hendvågen);33;120170;7012234
316;Balhald Steinbrudd;33;326790;7073720
317;Damåsen massetak;33;203076;6627099
