maps\0000001.jpg	vanlig (score = 0.88488)	uttak (score = 0.11512)	
maps\0000002.jpg	vanlig (score = 0.80282)	uttak (score = 0.19718)	
maps\0000003.jpg	vanlig (score = 0.98782)	uttak (score = 0.01218)	
maps\0000004.jpg	vanlig (score = 0.93430)	uttak (score = 0.06570)	
maps\0000005.jpg	uttak (score = 0.52621)	vanlig (score = 0.47379)	
maps\0000006.jpg	uttak (score = 0.88788)	vanlig (score = 0.11212)	
maps\0000007.jpg	uttak (score = 0.95687)	vanlig (score = 0.04313)	
maps\0000008.jpg	uttak (score = 0.52608)	vanlig (score = 0.47392)	
maps\0000009.jpg	vanlig (score = 0.89409)	uttak (score = 0.10591)	
maps\0000010.jpg	uttak (score = 0.98861)	vanlig (score = 0.01139)	
maps\0000011.jpg	uttak (score = 0.99748)	vanlig (score = 0.00252)	
maps\0000012.jpg	uttak (score = 0.89727)	vanlig (score = 0.10273)	
maps\0000013.jpg	vanlig (score = 0.69795)	uttak (score = 0.30205)	
maps\0000014.jpg	uttak (score = 0.96094)	vanlig (score = 0.03906)	
maps\0000015.jpg	uttak (score = 0.82179)	vanlig (score = 0.17821)	
maps\0000016.jpg	vanlig (score = 0.92297)	uttak (score = 0.07703)	
